Can BallGame that is also FootballTeam be considered a subcategory of 'Player'?, False
Can something that plays_for some BallGame be considered a subcategory of 'Team'?, False
Can BallGame that is also FootballTeam be considered a subcategory of 'Person'?, False
Can FootballPlayer that is also Person be considered a subcategory of 'Game'?, False
Can BallGame that is also FootballPlayer be considered a subcategory of 'Football'?, False
Can something that managed_by some BallGame be considered a subcategory of 'FootballPlayer'?, False.
Can FootballTeam that is also Team be considered a subcategory of 'FootballPlayer'?, False
Can BallGame that is also Manager be considered a subcategory of 'Game'?, False
Can FootballTeam that is also Player be considered a subcategory of 'FootballPlayer'?, False.
Can Game be considered a subcategory of 'something that plays some BallGame'?, False
Can Game that is also Person be considered a subcategory of 'Football'?, False
Can Game that is also Person be considered a subcategory of 'BallGame'?, False
Can something that plays some Team be considered a subcategory of 'FootballPlayer'?, False
Can FootballPlayer that is also Manager be considered a subcategory of 'Person'?, True.
Can FootballPlayer that is also Manager be considered a subcategory of 'Team'?, False.
Can FootballPlayer that is also Manager be considered a subcategory of 'Player'?, False
Can FootballPlayer that is also Manager be considered a subcategory of 'FootballTeam'?, False
Can FootballPlayer that is also Manager be considered a subcategory of 'Game'?, False
Can FootballPlayer that is also Manager be considered a subcategory of 'Football'?, False
Can Manager be considered a subcategory of 'Person'?, True
Can Manager be considered a subcategory of 'Thing'?, True
Can Manager be considered a subcategory of 'Person that is also Thing'?, True.
Can Manager be considered a subcategory of 'Team'?, False.
Can Manager be considered a subcategory of 'Player'?, False
Can Manager be considered a subcategory of 'FootballTeam'?, False
Can Manager be considered a subcategory of 'Game'?, False
Can Manager be considered a subcategory of 'FootballPlayer'?, False
Can Manager be considered a subcategory of 'Football'?, False
Can Manager be considered a subcategory of 'BallGame'?, False
Can Football that is also Player be considered a subcategory of 'Person'?, True.
Can Football that is also Player be considered a subcategory of 'Manager'?, False
Can Football that is also Player be considered a subcategory of 'Team'?, False
Can Football that is also Player be considered a subcategory of 'FootballTeam'?, False.
Can Football that is also Player be considered a subcategory of 'Game'?, False
Can Football that is also Player be considered a subcategory of 'FootballPlayer'?, True.
